,pitch,start,end,duration,next_note
0,60,8,12,4,65_4
1,62,24,26,2,62_2
2,71,22,24,2,71_2
3,69,6,8,2,69_4
4,71,20,24,4,62_4
5,67,18,20,2,64_2
6,67,26,28,2,69_2
7,60,2,4,2,67_4
8,69,22,24,2,60_2
9,64,24,26,2,67_2
10,67,29,30,1,71_1
11,65,29,30,1,60_1
12,65,24,26,2,62_2
13,64,2,4,2,65_2
14,60,24,26,2,62_2
15,67,27,28,1,67_1
16,62,26,28,2,64_2
17,67,20,24,4,65_2
18,60,26,28,2,64_2
19,60,20,24,4,71_4
20,60,22,24,2,57_4
21,71,24,26,2,64_2
22,59,26,28,2,69_2
23,64,27,28,1,67_1
24,60,29,30,1,64_1
25,60,29,30,1,64_1
26,60,29,30,1,64_1
27,69,26,28,2,60_2
28,65,24,26,2,64_2
29,60,26,28,2,60_2
30,60,24,28,4,69_2
31,69,24,26,2,69_2
32,65,2,4,2,60_2
33,65,24,26,2,62_2
34,62,4,8,4,71_4
35,71,24,28,4,69_2
36,60,26,28,2,62_2
37,67,4,8,4,62_4
38,60,20,24,4,62_4
39,60,20,24,4,62_4
40,60,20,24,4,62_4
41,62,24,26,2,62_2
42,67,24,26,2,62_2
43,71,26,28,2,62_2
44,62,26,28,2,69_2
45,62,26,28,2,69_2
46,62,26,28,2,69_2
47,64,24,26,2,67_2
48,64,16,20,4,64_4
49,62,22,24,2,62_2
50,64,26,28,2,64_2
51,62,12,16,4,62_2
52,62,26,28,2,60_2
53,69,24,26,2,62_2
54,71,24,28,4,64_2
55,57,6,8,2,64_2
56,57,26,28,2,69_2
57,57,26,28,2,69_2
58,57,26,28,2,69_2
59,64,24,26,2,67_2
60,64,16,18,2,71_2
61,62,2,4,2,60_4
62,62,26,28,2,60_2
63,69,24,26,2,65_2
64,64,20,24,4,67_2
65,60,8,12,4,65_2
66,60,26,28,2,71_2
67,65,24,28,4,64_2
68,62,20,24,4,60_4
69,60,10,12,2,69_2
70,64,26,28,2,67_2
71,64,26,28,2,67_2
72,59,26,28,2,69_2
73,62,10,12,2,64_2
74,60,14,16,2,67_2
75,60,26,28,2,71_2
76,60,26,28,2,71_2
77,67,26,28,2,62_2
78,65,26,28,2,57_2
79,65,26,28,2,57_2
80,71,24,26,2,60_2
81,60,26,28,2,69_2
82,60,26,28,2,65_2
83,60,22,24,2,60_4
84,60,26,27,1,71_1
85,62,28,29,1,65_1
86,71,20,24,4,64_4
87,71,20,24,4,64_4
88,60,22,24,2,60_2
89,62,26,28,2,71_2
90,71,26,28,2,67_2
91,64,24,26,2,62_2
92,64,6,8,2,67_2
93,67,10,12,2,60_2
94,69,26,28,2,62_2
95,67,24,28,4,67_2
96,71,26,28,2,60_2
97,71,26,28,2,60_2
98,71,24,28,4,69_2
99,67,8,12,4,71_4
100,65,24,28,4,60_2
101,64,26,28,2,71_2
102,60,26,28,2,62_2
103,60,26,28,2,62_2
104,71,4,6,2,69_2
105,67,26,28,2,67_2
106,57,26,28,2,69_2
107,60,26,28,2,62_2
108,60,26,28,2,71_2
109,71,20,24,4,61_4
110,65,22,24,2,62_4
111,60,26,28,2,60_2
112,60,26,28,2,69_2
113,64,26,28,2,60_2
114,71,26,28,2,60_2
115,71,26,28,2,60_2
116,69,26,28,2,67_2
117,71,24,26,2,69_2
118,69,24,26,2,69_2
119,64,18,20,2,67_4
120,62,22,24,2,64_4
121,65,22,24,2,71_4
122,67,2,4,2,64_4
123,67,20,24,4,64_4
124,69,6,8,2,69_4
125,64,24,28,4,71_2
126,60,24,26,2,62_2
127,69,26,28,2,65_2
128,57,26,28,2,57_2
129,60,22,24,2,71_2
130,67,20,22,2,67_2
131,71,24,28,4,60_2
132,71,24,26,2,69_2
133,71,24,26,2,69_2
134,65,20,24,4,60_4
135,69,16,20,4,69_4
136,69,16,20,4,69_4
137,69,16,20,4,69_4
138,60,20,24,4,65_4
139,65,24,26,2,62_2
140,60,4,8,4,64_4
141,69,24,28,4,60_2
142,64,20,22,2,71_2
143,65,12,16,4,61_4
144,62,24,26,2,62_2
145,62,22,24,2,69_1
146,60,4,8,4,71_2
147,67,8,12,4,67_2
148,65,26,28,2,69_2
149,71,4,8,4,67_4
150,60,24,26,2,67_2
151,62,16,18,2,62_2
152,67,24,28,4,62_2
153,52,28,30,2,67_1
154,60,24,26,2,65_2
155,62,2,4,2,71_2
156,64,26,28,2,70_2
157,67,26,28,2,62_2
158,71,26,28,2,71_2
159,62,24,28,4,60_2
160,65,2,4,2,64_4
161,64,28,29,1,66_1
162,64,29,30,1,71_1
163,65,20,22,2,65_2
164,67,28,30,2,67_1
165,65,2,4,2,64_2
166,71,26,28,2,65_2
167,64,24,26,2,64_2
168,71,26,28,2,67_2
169,65,26,28,2,65_2
170,69,24,28,4,62_2
171,71,26,28,2,60_2
172,65,26,28,2,64_2
173,69,24,27,3,68_1
174,60,26,28,2,64_2
175,64,24,28,4,62_2
