chord,duration
start_end,0
4_-,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
3_-,384
1_,384
5_,384
3_7,384
6_-,384
2_7,384
1_,1152
4_,384
1_,1152
4_,384
1_,384
6_-,384
5_7,768
6_7,576
6_-,192
1_,384
4_,384
1_,384
6_-,384
5_7,768
6_7,192
6_-,576
4_,384
5_7,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,768
5_,384
3_7,192
b6_-b5,192
6_-,384
1_º7,192
b5_-b5,192
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,1152
4_,384
1_,384
6_-,384
5_7,768
6_7,192
6_-,576
4_,384
5_7,384
1_,576
4_,192
1_,384
4_,384
1_,576
4_,192
1_,768
5_,384
3_7,384
1_,384
2_7,384
1_-,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
start_end,0
4_-,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
3_-,384
1_,384
5_,384
3_7,384
6_-,384
2_7,384
1_,1152
4_,384
1_,1152
4_,384
1_,384
6_-,384
5_7,768
6_7,576
6_-,192
1_,384
4_,384
1_,384
6_-,384
5_7,768
6_7,192
6_-,576
4_,384
5_7,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,768
5_,384
3_7,192
b6_-b5,192
6_-,384
1_º7,192
b5_-b5,192
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,1152
4_,384
1_,384
6_-,384
5_7,768
6_7,192
6_-,576
4_,384
5_7,384
1_,576
4_,192
1_,384
4_,384
1_,576
4_,192
1_,768
5_,384
3_7,384
1_,384
2_7,384
1_-,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
1_,384
4_,384
start_end,0
b6_,1920
4_-,1920
b2_,960
4_-,960
b3_7,1920
b3_º7,960
b3_-,960
b3_º7,960
4_7,960
b2_,1920
5_-b5,480
b3_7,1440
b6_,1440
b3_,480
4_-,960
b7_7,960
b3_,960
b7_7,960
b3_7,1920
b6_,1920
4_-,1920
b2_,960
4_-,960
b3_7,1920
b3_º7,960
b3_-,960
b3_º7,960
4_7,960
b2_,1920
5_-b5,480
b3_7,1440
b6_,1440
b3_,480
4_-,960
b7_7,960
b3_,960
b7_7,960
b3_,1920
b3_7,1920
1_º7,960
b5_º7,960
4_7,1920
b7_-,1920
5_º7,960
b7_-,960
1_7,480
4_,480
1_7,960
b7_-,480
b2_,480
b7_-,480
b7_º7,480
4_-,1920
b7_7,3840
b3_,960
4_-,480
b7_7,480
b3_7,1920
b6_7,960
b2_,960
b7_,960
b3_7,960
1_,960
4_7,960
b7_-,1920
b3_7,1920
b6_7,2880
1_-b5,960
b2_,960
4_-,960
b7_-,960
b2_,960
b3_7,960
b2_,960
b3_7,1920
b6_,1920
b3_7,1920
1_º7,960
b5_º7,960
4_7,1920
b7_-,1920
5_º7,960
b7_-,960
1_7,480
4_,480
1_7,960
b7_-,480
b2_,480
b7_-,480
b7_º7,480
4_-,1920
b7_7,3840
b3_,960
4_-,480
b7_7,480
b3_7,1920
b6_7,960
b2_,960
b7_,960
b3_7,960
1_,960
4_7,960
b7_-,1920
b3_7,1920
b6_7,2880
1_-b5,960
b2_,960
4_-,960
b7_-,960
b2_,960
b3_7,960
b2_,960
b3_7,1920
b6_,1920
start_end,0
b6_,1920
4_-,1920
b2_,960
4_-,960
b3_7,1920
b3_º7,960
b3_-,960
b3_º7,960
4_7,960
b2_,1920
5_-b5,480
b3_7,1440
b6_,1440
b3_,480
4_-,960
b7_7,960
b3_,960
b7_7,960
b3_7,1920
b6_,1920
4_-,1920
b2_,960
4_-,960
b3_7,1920
b3_º7,960
b3_-,960
b3_º7,960
4_7,960
b2_,1920
5_-b5,480
b3_7,1440
b6_,1440
b3_,480
4_-,960
b7_7,960
b3_,960
b7_7,960
b3_,1920
b3_7,1920
1_º7,960
b5_º7,960
4_7,1920
b7_-,1920
5_º7,960
b7_-,960
1_7,480
4_,480
1_7,960
b7_-,480
b2_,480
b7_-,480
b7_º7,480
4_-,1920
b7_7,3840
b3_,960
4_-,480
b7_7,480
b3_7,1920
b6_7,960
b2_,960
b7_,960
b3_7,960
1_,960
4_7,960
b7_-,1920
b3_7,1920
b6_7,2880
1_-b5,960
b2_,960
4_-,960
b7_-,960
b2_,960
b3_7,960
b2_,960
b3_7,1920
b6_,1920
b3_7,1920
1_º7,960
b5_º7,960
4_7,1920
b7_-,1920
5_º7,960
b7_-,960
1_7,480
4_,480
1_7,960
b7_-,480
b2_,480
b7_-,480
b7_º7,480
4_-,1920
b7_7,3840
b3_,960
4_-,480
b7_7,480
b3_7,1920
b6_7,960
b2_,960
b7_,960
b3_7,960
1_,960
4_7,960
b7_-,1920
b3_7,1920
b6_7,2880
1_-b5,960
b2_,960
4_-,960
b7_-,960
b2_,960
b3_7,960
b2_,960
b3_7,1920
b6_,1920
start_end,0
1_,192
5_,192
start_end,0
b5_-b5,192
5_,192
b5_-b5,192
1_,192
start_end,0
5_7,384
5_,96
1_,288
start_end,0
start_end,0
1_,768
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
start_end,0
5_,768
start_end,0
5_,768
start_end,0
4_,192
5_7,192
4_,96
7_-b5,192
5_7,96
start_end,0
5_,768
start_end,0
